time,event,Freq
2017-04-05 02:12:12,access,9
2017-04-05 02:12:12,svn,1
2017-04-05 02:12:15,Fire,1
2017-04-05 02:12:16,Fire,1
2017-04-05 02:12:22,access,2
2017-04-05 02:13:11,httpdacc,1
2017-04-05 02:13:46,ldap,330
2017-04-05 02:18:11,httpdacc,1
2017-04-05 02:18:46,ldap,330
2017-04-05 02:20:59,httpdacc,1
2017-04-05 02:22:56,Fire,1
2017-04-05 02:23:02,access,1
2017-04-05 02:23:11,httpdacc,1
2017-04-05 02:23:46,ldap,330
2017-04-05 02:27:15,Fire,2
2017-04-05 02:27:21,access,1
2017-04-05 02:27:22,access,1
2017-04-05 02:28:11,httpdacc,1
2017-04-05 02:28:29,httpdacc,1
2017-04-05 02:28:46,ldap,330
2017-04-05 02:29:12,access,4
2017-04-05 02:30:12,access,9
2017-04-05 02:30:12,svn,1
2017-04-05 02:33:11,httpdacc,1
2017-04-05 02:33:46,ldap,330
2017-04-05 02:34:47,ldap,381
2017-04-05 02:36:00,httpdacc,1
2017-04-05 02:37:00,ldap,357
2017-04-05 02:37:56,Fire,1
2017-04-05 02:38:02,access,1
2017-04-05 02:38:11,httpdacc,1
2017-04-05 02:38:46,ldap,330
2017-04-05 02:41:34,httpdacc,1
2017-04-05 02:42:16,Fire,2
2017-04-05 02:42:22,access,2
2017-04-05 02:43:11,httpdacc,1
2017-04-05 02:43:46,ldap,330
2017-04-05 02:45:47,Fire,1
2017-04-05 02:45:48,access,1
2017-04-05 02:48:11,httpdacc,1
2017-04-05 02:48:46,ldap,330
2017-04-05 02:51:00,httpdacc,1
2017-04-05 02:52:57,Fire,1
2017-04-05 02:53:03,access,1
2017-04-05 02:53:11,httpdacc,1
2017-04-05 02:53:46,ldap,330
2017-04-05 02:57:15,Fire,1
2017-04-05 02:57:16,Fire,1
2017-04-05 02:57:22,access,2
2017-04-05 02:58:11,httpdacc,1
2017-04-05 02:58:30,access,1
2017-04-05 02:58:37,Fire,1
2017-04-05 02:58:46,ldap,330
2017-04-05 02:59:58,ldap,223
2017-04-05 02:59:59,ldap,278
2017-04-05 03:00:00,alfresco,7
2017-04-05 03:00:01,alfresco,1
2017-04-05 03:00:02,alfresco,5
2017-04-05 03:03:11,httpdacc,1
2017-04-05 03:03:46,ldap,330
2017-04-05 03:06:02,httpdacc,1
2017-04-05 03:07:59,Fire,1
2017-04-05 03:08:05,access,1
2017-04-05 03:08:07,Fire,1
2017-04-05 03:08:11,httpdacc,1
2017-04-05 03:08:46,ldap,330
2017-04-05 03:12:12,access,9
2017-04-05 03:12:12,svn,1
2017-04-05 03:12:15,Fire,1
2017-04-05 03:12:16,Fire,1
2017-04-05 03:12:22,access,2
2017-04-05 03:13:11,httpdacc,1
2017-04-05 03:13:46,ldap,330
2017-04-05 03:18:11,httpdacc,1
2017-04-05 03:18:46,ldap,330
2017-04-05 03:21:03,httpdacc,1
2017-04-05 03:23:00,Fire,1
2017-04-05 03:23:05,access,1
2017-04-05 03:23:11,httpdacc,1
2017-04-05 03:23:46,ldap,330
2017-04-05 03:27:16,Fire,1
2017-04-05 03:27:17,Fire,1
2017-04-05 03:27:22,access,1
2017-04-05 03:27:23,access,1
2017-04-05 03:28:11,httpdacc,1
2017-04-05 03:28:46,ldap,330
2017-04-05 03:29:12,access,4
2017-04-05 03:30:12,access,9
2017-04-05 03:30:12,svn,1
2017-04-05 03:33:11,httpdacc,1
2017-04-05 03:33:46,ldap,330
2017-04-05 03:36:04,httpdacc,1
2017-04-05 03:38:01,Fire,1
2017-04-05 03:38:07,access,1
2017-04-05 03:38:11,httpdacc,1
2017-04-05 03:38:46,ldap,330
2017-04-05 03:42:16,Fire,2
2017-04-05 03:42:22,access,2
2017-04-05 03:43:11,httpdacc,1
2017-04-05 03:43:46,ldap,330
2017-04-05 03:48:00,ldap,352
2017-04-05 03:48:11,httpdacc,1
2017-04-05 03:48:46,ldap,330
2017-04-05 03:51:04,httpdacc,1
2017-04-05 03:53:02,Fire,1
2017-04-05 03:53:08,access,1
2017-04-05 03:53:11,httpdacc,1
2017-04-05 03:53:46,ldap,330
2017-04-05 03:57:16,Fire,2
2017-04-05 03:57:22,access,2
2017-04-05 03:58:11,httpdacc,1
2017-04-05 03:58:46,ldap,330
2017-04-05 03:59:58,ldap,219
2017-04-05 03:59:59,ldap,782
2017-04-05 04:00:00,alfresco,7
2017-04-05 04:00:01,alfresco,1
2017-04-05 04:00:02,alfresco,5
2017-04-05 04:03:11,httpdacc,1
2017-04-05 04:03:46,ldap,330
2017-04-05 04:05:47,ldap,376
2017-04-05 04:05:52,ldap,385
2017-04-05 04:05:53,ldap,240
2017-04-05 04:06:06,httpdacc,1
2017-04-05 04:06:18,ldap,427
2017-04-05 04:06:21,ldap,61
2017-04-05 04:06:22,ldap,513
2017-04-05 04:06:48,ldap,427
2017-04-05 04:06:49,ldap,324
2017-04-05 04:07:18,ldap,751
2017-04-05 04:07:48,ldap,536
2017-04-05 04:07:49,ldap,215
2017-04-05 04:08:03,Fire,1
2017-04-05 04:08:09,access,1
2017-04-05 04:08:11,httpdacc,1
2017-04-05 04:08:46,ldap,330
2017-04-05 04:12:12,access,9
2017-04-05 04:12:12,svn,1
2017-04-05 04:12:16,Fire,2
2017-04-05 04:12:22,access,2
2017-04-05 04:13:11,httpdacc,1
2017-04-05 04:13:46,ldap,330
2017-04-05 04:18:11,httpdacc,1
2017-04-05 04:18:46,ldap,330
2017-04-05 04:21:06,httpdacc,1
2017-04-05 04:23:05,Fire,1
2017-04-05 04:23:11,access,1
2017-04-05 04:23:11,httpdacc,1
2017-04-05 04:23:46,ldap,330
2017-04-05 04:24:15,ldap,122
2017-04-05 04:24:16,ldap,432
2017-04-05 04:24:17,ldap,552
2017-04-05 04:24:49,ldap,122
2017-04-05 04:24:53,ldap,122
2017-04-05 04:24:54,ldap,507
2017-04-05 04:25:19,ldap,183
2017-04-05 04:25:20,ldap,122
2017-04-05 04:25:21,ldap,122
2017-04-05 04:25:22,ldap,305
2017-04-05 04:25:25,ldap,19
2017-04-05 04:25:49,ldap,301
2017-04-05 04:25:50,ldap,450
2017-04-05 04:26:19,ldap,488
2017-04-05 04:26:20,ldap,263
2017-04-05 04:26:52,ldap,549
2017-04-05 04:26:53,ldap,202
2017-04-05 04:27:16,Fire,2
2017-04-05 04:27:22,access,2
2017-04-05 04:27:23,ldap,61
2017-04-05 04:27:24,ldap,61
2017-04-05 04:27:26,ldap,61
2017-04-05 04:27:27,ldap,122
2017-04-05 04:27:30,ldap,61
2017-04-05 04:27:31,ldap,61
2017-04-05 04:27:33,ldap,61
2017-04-05 04:27:34,ldap,61
2017-04-05 04:27:37,ldap,61
2017-04-05 04:28:00,ldap,61
2017-04-05 04:28:03,ldap,61
2017-04-05 04:28:04,ldap,61
2017-04-05 04:28:06,ldap,61
2017-04-05 04:28:09,ldap,61
2017-04-05 04:28:11,httpdacc,1
2017-04-05 04:28:11,ldap,25
2017-04-05 04:28:12,ldap,219
2017-04-05 04:28:14,ldap,61
2017-04-05 04:28:15,ldap,141
2017-04-05 04:28:32,ldap,61
2017-04-05 04:28:33,ldap,122
2017-04-05 04:28:35,ldap,61
2017-04-05 04:28:36,ldap,183
2017-04-05 04:28:37,ldap,61
2017-04-05 04:28:38,ldap,61
2017-04-05 04:28:39,ldap,122
